32	2341723
32	672
32	61
32	6588451
32	697943
32	135
32	777
32	223
33	4358883
33	2775804
33	962
33	606
33	852
33	618
33	636
33	646
33	6588451
33	697943
33	2341723
33	672
33	685
33	223
33	597
33	135
33	258
33	389
33	50986
37	697943
37	135
37	17603030
37	223
37	61
52	135
52	61
59	135
59	61
61	234
61	2358250
61	146596
61	135
61	139
61	32
61	37
61	260
61	2775804
61	52
61	59
61	65
61	22314760
61	636
61	646
61	697943
61	2630044
61	29689102
61	4163084
61	4031241
61	2341723
61	672
61	442755
61	30640415
61	209
61	216
61	223
61	227
65	672
65	135
65	61
285334	1324061
36146560	2635374
33678094	26089784
33678094	30063226
33678094	4212387
5530662	6980277
36857587	47140077
36857587	4332168
36857587	28247728
36857587	11655500
36857587	20515055
36857587	1286930
36857587	1311302
1610884	1561898
30063226	25163324
30063226	26412922
30063226	42463011
30063226	45640721
30063226	13478974
30063226	11655500
30063226	5655920
30063226	16799878
30063226	46618639
30063226	23812724
30063226	449264
30063226	14909725
30063226	27888796
30063226	11259099
30063226	42107340
30063226	9768925
30063226	3439377
30063226	9160759
30063226	37270854
30063226	31794914
30063226	12132051
30063226	34159253
30063226	35487586
30063226	7882388
30063226	28248161
30063226	33403266
30063226	2342167
30063226	13885492
30063226	34016062
30063226	44914136
30063226	33678094
30063226	37993289
17981953	20065734
29025739	33403266
29025739	5824823
29025739	21361413
29025739	34016062
29025739	20515055
29025739	11259099
29025739	9587358
19710795	5650191
29300303	2787312
29300303	35477653
29300303	45640721
29300303	11655500
1335235	5707281
21555617	20922453
65532054	13330743
65532054	29950580
65532054	4034352
65532054	13478974
65532054	11655500
65532054	46618639
65532054	156090
65532054	40659827
65532054	68710879
65532054	2342167
65532054	4229645
65532054	32020067
286711	260263
286711	1907875
286768	973001
286406	6011681
2785546	11071671
2785546	1261527
2075935	8240903
42528768	35477653
42528768	73394424
629392	1735547
629392	7813712
629392	1261527
629392	3374482
629392	5719924
18078035	52368234
18078035	37216631
18078035	46132451
18078035	12169666
18078035	34159253
18078035	20884869
18078035	50828043
18078035	54597546
134	135
135	962
135	209
135	697
135	216
135	227
135	597
135	488
135	134
135	139
135	32
135	33
135	37
135	380
135	52
135	59
135	61
135	65
139	697943
139	2341723
139	672
139	135
139	61
209	6588451
209	697943
209	2341723
209	672
209	135
209	389
209	61
216	135
216	389
216	921
216	61
223	636
223	646
223	697943
223	777
223	32
223	33
223	37
223	2341723
223	61
223	606
227	135
227	61
234	61
258	33
258	697943
258	672
260	61
277	921
380	135
389	685
389	209
389	697
389	216
389	597
389	488
389	2194423
389	33
488	672
488	135
488	389
488	56361
597	33
597	135
597	389
606	2341723
606	672
606	30640415
606	6588451
606	697943
606	777
606	22314760
606	33
606	223
618	33
636	2341723
636	6022825
636	672
636	30640415
636	61
636	6588451
636	697943
636	22314760
636	33
636	223
646	2341723
646	672
646	30640415
646	61
646	6588451
646	697943
646	22314760
646	33
646	223
672	146596
672	488
672	21412915
672	4358883
672	258
672	139
672	32
672	33
672	2775804
672	6022825
672	61
672	606
672	65
672	22314760
672	20068769
672	636
672	646
672	6588451
672	697943
672	2630044
672	4163084
672	2341723
672	442755
672	209
685	33
685	389
697	135
697	389
777	32
777	606
777	2630044
777	223
852	33
852	697943
921	277
921	216
962	33
962	135
45640721	13330743
45640721	6566947
45640721	693179
45640721	57750962
45640721	13478974
45640721	8705236
45640721	11655500
45640721	1159320
45640721	2635374
45640721	2523624
45640721	10292969
45640721	15583185
45640721	13486307
45640721	390459
45640721	8147372
45640721	6720535
45640721	7775025
45640721	36269688
45640721	324224
45640721	7870228
45640721	31794914
45640721	40659827
45640721	29684841
45640721	30063226
45640721	24568769
45640721	45075958
45640721	29300303
45640721	23418227
45640721	32020067
45640721	1311302
45640721	16943490
45640721	37993289
2350871	9561277
2350874	5707281
2350874	26089784
20197626	147679
20197626	48256607
20197626	5558840
13418919	11071671
43544307	21193206
47187200	5707281
47187200	4207335
47187200	44575701
47187200	7405765
68710879	4207335
68710879	21544127
68710879	1209402
68710879	13486307
68710879	12685876
68710879	36269688
68710879	24568769
68710879	65532054
68710879	20030502
68710879	1311302
6980277	7762316
6980277	11799018
6980277	2590460
6980277	301583
6980277	5530662
6980277	3715546
6980277	4442579
6980277	2225319
6980277	11425673
6980277	5118106
6980277	1567744
6980277	2596451
6980277	15628290
6980277	38483694
562734	1261527
562734	1049256
30776162	7407263
1338448	1049256
1338448	988325
10173704	6080613
10173704	32325993
10173704	9597544
10173704	7789792
10173704	11545785
10173704	11070623
10173704	15325459
10173704	17278167
10173704	32020067
10173704	28801045
1338005	5707281
1338005	4613356
3436213	251539
19437014	6080613
8370974	13923920
9886885	5707281
12614822	32020067
12614822	21713750
35409087	26089784
35409087	21251712
35409087	10870456
35409087	20173193
42463011	11492805
42463011	38483694
42463011	30063226
16532587	16709654
36424109	3121650
36424109	5009557
36424109	12153582
36424109	5241003
36424109	324224
31147080	12690364
31147080	12917656
287002	550961
32939333	22506452
73394424	8705236
73394424	42528768
73394424	3255166
2352852	4310158
563865	732944
4450900	1286792
50986	33
7789792	7186163
7789792	14675381
7789792	2368043
7789792	15325459
7789792	40659013
7789792	5366835
7789792	12459350
7789792	9206014
7789792	11070623
7789792	984877
7789792	10461191
7789792	20173790
7789792	260292
7789792	17278167
7789792	325269
7789792	5009557
7789792	10173704
7789792	23812724
7789792	12313344
7789792	7056655
7789792	6080613
7789792	11545785
7789792	324224
7789792	43839490
7789792	19139095
7789792	2709681
7789792	17693287
7789792	2103661
7789792	9597544
7789792	28801045
7789792	32020067
7789792	3395373
7789792	8791023
7789792	2657663
288959	4463619
288959	6604257
288959	79824
8094539	10517591
3000565	2774349
2787312	26412922
2787312	5891522
2787312	12314651
2787312	7882388
2787312	24253553
2787312	29300303
2787312	7763814
38246299	8240903
8711684	1566180
10517591	8094539
51955	6987890
5534714	9759426
1615320	397128
21492771	857831
17985208	18816043
2355635	47332558
5192493	6080613
11968361	4332168
11968361	2635374
1272497	4179231
1272497	261779
5191496	8081903
5191496	4467678
5191496	13065259
5191496	16405421
45369265	52580
45369265	4453434
45369265	51996948
28590178	20162757
52580	4453434
52580	45369265
21124935	7882388
289770	64649672
289879	131310
52710	260292
52710	260263
52710	5009557
52710	392404
52710	5137213
52710	4441127
52710	4339388
52710	1205313
37442257	169540
19715268	8303372
19715268	5009557
19715268	550733
19715268	1205313
60969974	11655500
60969974	12274901
10176918	28247728
10176918	5707281
10176918	4207335
10176918	4332168
10176918	11655500
10176918	23812724
4453434	52580
4453434	51996948
4453434	29070618
4453434	45369265
4453434	20162757
2630044	6588451
2630044	2341723
2630044	6022825
2630044	672
2630044	777
2630044	22314760
2630044	30640415
2630044	20068769
2630044	61
2355454	5838822
3437158	984877
11259099	12275017
11259099	30063226
11259099	38642184
11259099	29025739
11259099	13478974
11259099	23418227
11259099	7870228
5535245	26089784
5535245	23418227
5535245	5707281
5535245	11770024
5535245	11655500
5535245	2635374
5100167	61970103
4179231	1272497
4179231	4584191
7634566	13065635
7634566	32020067
6987890	51955
3715546	18406560
3715546	4442579
3715546	6980277
3715546	17579561
47469718	46132451
47469718	50363998
47469718	66560325
2358250	4031241
2358250	2775804
2358250	442755
2358250	61
131310	289879
17278167	20170086
17278167	7186163
17278167	14675381
17278167	40659013
17278167	28896172
17278167	43839490
17278167	6566947
17278167	21978806
17278167	55811843
17278167	19139095
17278167	11070623
17278167	59433539
17278167	2709681
17278167	984877
17278167	32453977
17278167	17693287
17278167	4034352
17278167	739805
17278167	10461191
17278167	7789792
17278167	41841501
17278167	18295134
17278167	20173790
17278167	11543401
17278167	9597544
17278167	319014
17278167	975308
17278167	28801045
17278167	5009557
17278167	10173704
17278167	392404
17278167	32020067
17278167	3395373
17278167	2052335
17278167	52452138
17278167	7926039
17278167	44155248
17278167	7056655
